1, 0.000240
2, 0.000262
3, 0.000172
4, 0.000040
5, 0.000150
6, 0.000141
7, 0.000253
8, 0.000129
9, 0.000248
10, 0.000100
11, 0.000202
12, 0.000091
13, 0.000044
14, 0.000085
15, 0.000343
16, 0.000008
17, 0.000099
18, 0.000073
19, 0.000125
20, 0.000028
21, 0.000149
22, 0.000019
23, 0.000110
24, 0.000056
25, 0.000122
26, 0.000177
27, 0.000028
28, 0.000088
29, 0.000080
30, 0.000105
31, 0.000089
32, 0.000107
33, 0.000072
34, 0.000076
35, 0.000101
36, 0.000019
37, 0.000084
38, 0.000080
39, 0.000088
40, 0.000027
41, 0.000098
42, 0.000035
43, 0.000075
44, 0.000053
45, 0.000040
46, 0.000096
47, 0.000045
48, 0.000128
49, 0.000006
50, 0.000054
51, 0.000019
52, 0.000050
53, 0.000004
54, 0.000046
55, 0.000116
56, 0.000034
57, 0.000008
58, 0.000035
59, 0.000117
60, 0.000056
61, 0.000003
62, 0.000014
63, 0.000018
64, 0.000111
65, 0.000025
66, 0.000022
67, 0.000018
68, 0.000021
69, 0.000038
70, 0.000041
71, 0.000029
72, 0.000020
73, 0.000064
74, 0.000047
75, 0.000068
76, 0.000064
77, 0.000023
78, 0.000050
79, 0.000098
80, 0.000033
81, 0.000017
82, 0.000010
83, 0.000073
84, 0.000053
85, 0.000025
86, 0.000042
87, 0.000029
88, 0.000021
89, 0.000021
90, 0.000041
91, 0.000031
92, 0.000022
93, 0.000063
94, 0.000017
95, 0.000109
96, 0.000057
97, 0.000022
98, 0.000049
99, 0.000002
100, 0.000032
